test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Bulgarian,0,обърна,1,"{'PREF': ['об'], 'ROOT': ['ър'], 'SUFF': ['н'], 'END': ['а']}"
1,Bulgarian,1,стъпалата,1,"{'ROOT': ['стъпал'], 'END': ['ата']}"
1,Bulgarian,2,плочки,0.5,"{'ROOT': ['плоч'], 'SUFF': ['к'], 'END': ['и']}"
1,Bulgarian,3,гърба,0.5,"{'ROOT': ['гърб'], 'END': ['а']}"
1,Bulgarian,4,смокини,0,"{'ROOT': ['смокин'], 'END': ['и']}"
1,Bulgarian,5,чудото,1,"{'ROOT': ['чуд'], 'END': ['ото']}"
1,Bulgarian,6,изтръгнал,0.5,"{'PREF': ['из'], 'ROOT': ['тръг'], 'SUFF': ['н', 'а', 'л']}"
1,Bulgarian,7,въжетата,0.5,"{'ROOT': ['въже'], 'END': ['тата']}"
1,Bulgarian,8,разпита,0.5,"{'PREF': ['раз'], 'ROOT': ['пит'], 'SUFF': ['а']}"
1,Bulgarian,9,налудничава,0,"{'PREF': ['на'], 'ROOT': ['луд'], 'SUFF': ['нич', 'ав'], 'END': ['а']}"
1,Bulgarian,10,знаеше,1,"{'ROOT': ['зна'], 'SUFF': ['еш'], 'END': ['е']}"
1,Bulgarian,11,стъпала,1,"{'ROOT': ['стъпал'], 'END': ['а']}"
1,Bulgarian,12,пътя,0.5,"{'ROOT': ['път'], 'END': ['я']}"
1,Bulgarian,13,осъдените,1,"{'PREF': ['о'], 'ROOT': ['съд'], 'SUFF': ['ен'], 'END': ['ите']}"
1,Bulgarian,14,глашатаите,1,"{'ROOT': ['глашата'], 'END': ['ите']}"
1,Bulgarian,15,гръцки,1,"{'ROOT': ['гръц'], 'SUFF': ['к'], 'END': ['и']}"
1,Bulgarian,16,тръба,1,"{'ROOT': ['тръб'], 'END': ['а']}"
1,Bulgarian,17,весел,1,{'ROOT': ['весел']}
1,Bulgarian,18,хлапетата,0.5,"{'ROOT': ['хлапет'], 'END': ['ата']}"
1,Bulgarian,19,войникът,0.5,"{'ROOT': ['войник'], 'END': ['ът']}"
1,Bulgarian,20,римския орел,0,"({'ROOT': ['рим'], 'SUFF': ['ск'], 'END': ['ия']}, {'ROOT': ['орел']})"
1,Bulgarian,21,спряха,0,"{'PREF': ['с'], 'ROOT': ['пр'], 'SUFF': ['ях'], 'END': ['а']}"
1,Bulgarian,22,излетя,1,"{'PREF': ['из'], 'ROOT': ['лет'], 'END': ['я']}"
1,Bulgarian,23,каменна,1,"{'ROOT': ['камен'], 'SUFF': ['н'], 'END': ['а']}"
1,Bulgarian,24,лози,0.5,"{'ROOT': ['лоз'], 'END': ['и']}"
1,Bulgarian,25,път,0.5,{'ROOT': ['път']}
1,Bulgarian,26,момче,0,"{'ROOT': ['мом'], 'SUFF': ['ч'], 'END': ['е']}"
1,Bulgarian,27,командир,1,{'ROOT': ['командир']}
1,Bulgarian,28,изтегли,0.5,"{'PREF': ['из'], 'ROOT': ['тегл'], 'END': ['и']}"
1,Bulgarian,29,запенен,0.5,"{'PREF': ['за'], 'ROOT': ['пен'], 'SUFF': ['ен']}"
1,Bulgarian,30,встрани,0,"{'PREF': ['в'], 'ROOT': ['стран'], 'END': ['и']}"
