test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Serbian,0,окренуо,0,"{'PREF': ['о'], 'ROOT': ['крен'], 'SUFF': ['у', 'о']}"
1,Serbian,1,степеницама,1,"{'ROOT': ['степен'], 'SUFF': ['иц'], 'END': ['ама']}"
1,Serbian,2,коцака,0,"{'ROOT': ['коцак'], 'END': ['а']}"
1,Serbian,3,леђа,0,"{'ROOT': ['леђ'], 'END': ['а']}"
1,Serbian,4,урме,0,"{'ROOT': ['урм'], 'END': ['е']}"
1,Serbian,5,чудо,1,"{'ROOT': ['чуд'], 'END': ['о']}"
1,Serbian,6,ишчупао,0,"{'PREF': ['иш'], 'ROOT': ['чуп'], 'SUFF': ['а', 'о']}"
1,Serbian,7,конопце,0,"{'ROOT': ['коноп'], 'SUFF': ['ц'], 'END': ['е']}"
1,Serbian,8,саслушања,0.5,"{'PREF': ['са'], 'ROOT': ['слуш'], 'SUFF': ['а', 'њ'], 'END': ['а']}"
1,Serbian,9,лудачким,0,"{'ROOT': ['луд'], 'SUFF': ['ач', 'к'], 'END': ['им']}"
1,Serbian,10,знао,1,"{'ROOT': ['зна'], 'SUFF': ['о']}"
1,Serbian,11,степеницама,1,"{'ROOT': ['степен'], 'SUFF': ['иц'], 'END': ['ама']}"
1,Serbian,12,пут,0.5,{'ROOT': ['пут']}
1,Serbian,13,осуђенике,1,"{'PREF': ['о'], 'ROOT': ['суђ'], 'SUFF': ['ен', 'ик'], 'END': ['е']}"
1,Serbian,14,телала,0,"{'ROOT': ['телал'], 'END': ['а']}"
1,Serbian,15,грчком,1,"{'ROOT': ['грч'], 'SUFF': ['к'], 'END': ['ом']}"
1,Serbian,16,трубе,1,"{'ROOT': ['труб'], 'END': ['е']}"
1,Serbian,17,весело,1,"{'ROOT': ['весел'], 'END': ['о']}"
1,Serbian,18,дечака,0.5,"{'ROOT': ['деч'], 'SUFF': ['ак'], 'END': ['а']}"
1,Serbian,19,војник,0.5,{'ROOT': ['војник']}
1,Serbian,20,барјачетом,0,"{'ROOT': ['барјач'], 'SUFF': ['ет'], 'END': ['ом']}"
1,Serbian,21,зауставили,1,"{'PREF': ['за', 'у'], 'ROOT': ['став'], 'SUFF': ['и', 'л'], 'END': ['и']}"
1,Serbian,22,излетела,1,"{'PREF': ['из'], 'ROOT': ['лет'], 'SUFF': ['е', 'л'], 'END': ['а']}"
1,Serbian,23,каменог,1,"{'ROOT': ['камен'], 'END': ['ог']}"
1,Serbian,24,лоза,0.5,"{'ROOT': ['лоз'], 'END': ['а']}"
1,Serbian,25,путем,0.5,"{'ROOT': ['пут'], 'END': ['ем']}"
1,Serbian,26,дечак,0.5,"{'ROOT': ['деч'], 'SUFF': ['ак']}"
1,Serbian,27,командир,1,{'ROOT': ['командир']}
1,Serbian,28,извукао,0.5,"{'PREF': ['из'], 'ROOT': ['вук'], 'SUFF': ['а', 'о']}"
1,Serbian,29,ознојени,0.5,"{'PREF': ['о'], 'ROOT': ['зној'], 'SUFF': ['ен'], 'END': ['и']}"
1,Serbian,30,тргнуо,0,"{'ROOT': ['трг'], 'SUFF': ['ну', 'о']}"
1,Serbian,31,командир,1,{'ROOT': ['командир']}
1,Serbian,32,врату,0.5,"{'ROOT': ['врат'], 'END': ['у']}"
1,Serbian,33,пролетели,1,"{'PREF': ['про'], 'ROOT': ['лет'], 'SUFF': ['е', 'л'], 'END': ['и']}"
1,Serbian,34,облаку,0.5,"{'ROOT': ['облак'], 'END': ['у']}"
1,Serbian,35,копаља,0.5,"{'ROOT': ['копаљ'], 'END': ['а']}"
1,Serbian,36,весело,1,"{'ROOT': ['весел'], 'END': ['о']}"
1,Serbian,37,блиставим,0.5,"{'ROOT': ['блист'], 'SUFF': ['ав'], 'END': ['им']}"
1,Serbian,38,војник,0.5,{'ROOT': ['војник']}
1,Serbian,39,трубом,1,"{'ROOT': ['труб'], 'END': ['ом']}"
1,Serbian,40,мрштећи,1,"{'ROOT': ['мршт'], 'SUFF': ['е', 'ћи']}"
1,Serbian,41,кренуо,0,"{'ROOT': ['крен'], 'SUFF': ['у', 'о']}"
1,Serbian,42,дошли,0.5,"{'PREF': ['до'], 'ROOT': ['ш'], 'SUFF': ['л'], 'END': ['и']}"
2,Serbian,0,празним,0.5,"{'ROOT': ['празн'], 'END': ['им']}"
2,Serbian,1,ходником,0.5,"{'ROOT': ['ходник'], 'END': ['ом']}"
2,Serbian,2,згради,0,"{'ROOT': ['зград'], 'END': ['и']}"
2,Serbian,3,стаклене,1,"{'ROOT': ['стакл'], 'SUFF': ['ен'], 'END': ['е']}"
2,Serbian,4,инструментима,1,"{'ROOT': ['инструмент'], 'END': ['има']}"
2,Serbian,5,фотеље,0,"{'ROOT': ['фотељ'], 'END': ['е']}"
2,Serbian,6,абажурима,0.5,"{'ROOT': ['абажур'], 'END': ['има']}"
2,Serbian,7,жице,0,"{'ROOT': ['жиц'], 'END': ['е']}"
2,Serbian,8,позабавило,0,"{'PREF': ['по', 'за'], 'ROOT': ['бав'], 'SUFF': ['и', 'л'], 'END': ['о']}"
2,Serbian,9,сточић,1,"{'ROOT': ['сточ'], 'SUFF': ['ић']}"
2,Serbian,10,размишља,0.5,"{'PREF': ['раз'], 'ROOT': ['мишљ'], 'SUFF': ['а']}"
2,Serbian,11,примамљив,0.5,"{'PREF': ['при'], 'ROOT': ['мам'], 'SUFF': ['љив']}"
2,Serbian,12,префињене,0,"{'PREF': ['пре'], 'ROOT': ['фињ'], 'SUFF': ['ен'], 'END': ['е']}"
2,Serbian,13,задржан,1,"{'PREF': ['за'], 'ROOT': ['држ'], 'SUFF': ['ан']}"
2,Serbian,14,данашњи,1,"{'ROOT': ['данаш'], 'SUFF': ['њ'], 'END': ['и']}"
2,Serbian,15,јучерашњег,1,"{'ROOT': ['јучера'], 'SUFF': ['шњ'], 'END': ['ег']}"
2,Serbian,16,сумњив,1,"{'ROOT': ['сумњ'], 'SUFF': ['ив']}"
2,Serbian,17,лудак,0,"{'ROOT': ['луд'], 'SUFF': ['ак']}"
2,Serbian,18,причу,0.5,"{'ROOT': ['прич'], 'END': ['у']}"
2,Serbian,19,јучерашње,1,"{'ROOT': ['јучера'], 'SUFF': ['шњ'], 'END': ['е']}"
2,Serbian,20,наопако,0.5,"{'PREF': ['на', 'о'], 'ROOT': ['пак'], 'END': ['о']}"
2,Serbian,21,повуче,0,"{'PREF': ['по'], 'ROOT': ['вуч'], 'SUFF': ['е']}"
2,Serbian,22,оствари,0.5,"{'PREF': ['о', 'с'], 'ROOT': ['твар'], 'SUFF': ['и']}"
2,Serbian,23,питања,0.5,"{'ROOT': ['пит'], 'SUFF': ['а', 'њ'], 'END': ['а']}"
2,Serbian,24,извукли,0,"{'PREF': ['из'], 'ROOT': ['вук'], 'SUFF': ['л'], 'END': ['и']}"
2,Serbian,25,живота,1,"{'ROOT': ['жив'], 'SUFF': ['от'], 'END': ['а']}"
2,Serbian,26,страницу,1,"{'ROOT': ['стран'], 'SUFF': ['иц'], 'END': ['у']}"
2,Serbian,27,рођацима,1,"{'ROOT': ['рођ'], 'SUFF': ['ац'], 'END': ['има']}"
