Unnamed: 0,id_user,test_id,parallel_lang,answer_no,answer,correctness,morphemic_parse
1,15574352,1,No Parallel Text,0,Кекнул,incorr,"{'ROOT': ['кек'], 'SUFF': ['н', 'у', 'л']}"
2,15574352,1,No Parallel Text,1,Реке,pcorr,"{'ROOT': ['рек'], 'END': ['е']}"
3,15574352,1,No Parallel Text,2,Кусков,pcorr,"{'ROOT': ['кус'], 'SUFF': ['к'], 'END': ['ов']}"
4,15574352,1,No Parallel Text,3,Плечами,pcorr,"{'ROOT': ['плеч'], 'END': ['ами']}"
5,15574352,1,No Parallel Text,4,Видел,incorr,"{'ROOT': ['вид'], 'SUFF': ['е', 'л']}"
6,15574352,1,No Parallel Text,5,Чудо,corr,"{'ROOT': ['чуд'], 'END': ['о']}"
7,15574352,1,No Parallel Text,6,Вырвался,corr,"{'PREF': ['вы'], 'ROOT': ['рв'], 'SUFF': ['а', 'л'], 'POSTFIX': ['ся']}"
8,15574352,1,No Parallel Text,7,Доспехи,pcorr,"{'ROOT': ['д', 'спех'], 'PREF': ['о'], 'END': ['и']}"
9,15574352,1,No Parallel Text,8,,incorr,{'HYPH': ['-']}
10,15574352,1,No Parallel Text,9,Смешной,pcorr,"{'ROOT': ['сме'], 'SUFF': ['ш', 'н'], 'END': ['ой']}"
11,15574352,1,No Parallel Text,10,Видит,pcorr,"{'ROOT': ['вид'], 'END': ['ит']}"
12,15574352,1,No Parallel Text,11,Башням,pcorr,"{'ROOT': ['башн'], 'END': ['ям']}"
13,15574352,1,No Parallel Text,12,Читую воду,incorr,"({'ROOT': ['чит'], 'END': ['ую']}, {'ROOT': ['вод'], 'END': ['у']})"
14,15574352,1,No Parallel Text,13,Смерть,incorr,{'ROOT': ['смерть']}
15,15574352,1,No Parallel Text,14,,incorr,{'HYPH': ['-']}
16,15574352,1,No Parallel Text,15,Еврейском,pcorr,"{'ROOT': ['еврей'], 'SUFF': ['ск'], 'END': ['ом']}"
17,15574352,1,No Parallel Text,16,Крик,pcorr,{'ROOT': ['крик']}
18,15574352,1,No Parallel Text,17,Ясно,pcorr,"{'ROOT': ['яс'], 'SUFF': ['н'], 'END': ['о']}"
19,15574352,1,No Parallel Text,18,Птиц,pcorr,"{'ROOT': ['пт'], 'SUFF': ['иц']}"
20,15574352,1,No Parallel Text,19,Ленин,incorr,{'ROOT': ['ленин']}
21,15574352,1,No Parallel Text,20,Знаменем,pcorr,"{'ROOT': ['знамен'], 'END': ['ем']}"
22,15574352,1,No Parallel Text,21,,incorr,{'HYPH': ['-']}
23,15574352,1,No Parallel Text,22,Проникла,pcorr,"{'PREF': ['про'], 'ROOT': ['ник'], 'SUFF': ['л'], 'END': ['а']}"
24,15574352,1,No Parallel Text,23,Крепостной,pcorr,"{'ROOT': ['крепост'], 'SUFF': ['н'], 'END': ['ой']}"
25,15574352,1,No Parallel Text,24,Виноград,corr,"{'ROOT': ['вин', 'град'], 'LINK': ['о']}"
26,15574352,1,No Parallel Text,25,Дорогой ,corr,"{'ROOT': ['дорог'], 'END': ['ой']}"
27,15574352,1,No Parallel Text,26,Ягода,incorr,"{'ROOT': ['ягод'], 'END': ['а']}"
28,15574352,1,No Parallel Text,27,,incorr,{'HYPH': ['-']}
29,15574352,1,No Parallel Text,28,Вытащил,corr,"{'PREF': ['вы'], 'ROOT': ['тащ'], 'SUFF': ['и', 'л']}"
30,15574352,1,No Parallel Text,29,,incorr,{'HYPH': ['-']}
31,15574352,1,No Parallel Text,30,Тотчас,incorr,"{'ROOT': ['тотч'], 'SUFF': ['а'], 'END': ['с']}"
32,15574352,1,No Parallel Text,31,Паренек,pcorr,"{'ROOT': ['пар'], 'SUFF': ['ен', 'ек']}"
33,15574352,1,No Parallel Text,32,,incorr,{'HYPH': ['-']}
