pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"10, 'повернулся', 'обърна'",0.5,0.0,2.0,0.0,2.2,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.1505791505791505
"11, 'ступеням', 'стъпалата'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,0.0,0.0,2.6,0.0,-3.45945945945946
"15, 'чудо', 'чудото'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4054054054054054
"110, 'знал', 'знаеше'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.4054054054054054
"111, 'ступеням', 'стъпала'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,0.0,0.0,1.6,0.0,-1.1405405405405409
"113, 'осужденных', 'осъдените'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.0,0.0,0.0,2.6,0.0,-0.1891891891891892
"114, 'глашатаев', 'глашатаите'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,-0.0193050193050193
"115, 'греческом', 'гръцки'",0.0,0.0,0.0,0.0,1.8,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-0.0193050193050193
"116, 'труба', 'тръба'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891891891891893
"117, 'весело', 'весел'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.5675675675675675
"122, 'вылетела', 'излетя'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.0,-3.756756756756757
"123, 'каменной', 'каменна'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,-0.3873873873873876
"127, 'командир', 'командир'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6476476476476476
"131, 'командир', 'командирът'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.3704292527821939
"133, 'полетели', 'полетяха'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.0,1.0,0.0,-0.1891891891891892
"135, 'пик', 'пики'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2305246422893481
"136, 'весело', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3596673596673597
"139, 'трубою', 'тръба'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.1675675675675675
"140, 'морща', 'мръщеше'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.1891891891891892
"21, 'коридору', 'коридор'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.72972972972973
"23, 'стеклянные', 'стъклени'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,1.2,0.0,0.4671814671814672
"24, 'инструментами', 'инструменти'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.4864864864864866
"25, 'кресла', 'кресла'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"211, 'соблазнительный', 'съблазнителна'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8223938223938224
"213, 'задержан', 'задържан'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"214, 'сегодняшний', 'днешният'",0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6891891891891891
"215, 'вчерашнего', 'вчерашния'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.6891891891891891
"216, 'сомнительным', 'съмнителен'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.3783783783783783
"219, 'вчерашний', 'вчерашният'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8869778869778869
"223, 'вопросов', 'въпроси'",0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.72972972972973
"226, 'страницу', 'страница'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.864864864864865
"227, 'родственниках', 'роднините'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,-0.864864864864865
"228, 'умер', 'умрял'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0054054054054053
"229, 'пил', 'пиел'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0958230958230958
"230, 'вчерашнем', 'вчерашното'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7668918918918919
"233, 'пульс', 'пулса'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3783783783783783
"235, 'помощь', 'помощ'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254054054054054
"237, 'коже', 'кожата'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.254054054054054
"30, 'молитва', 'молитва'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6837606837606838
"31, 'божество', 'божеството'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5256410256410257
"32, 'милосердии', 'милосърдие'",0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.6,0.0,0.3675213675213676
"35, 'время', 'време'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.1282051282051282
"36, 'города', 'града'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256410256410257
"37, 'движение', 'движение'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675213675213676
"38, 'колоннами', 'колоните'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.4578754578754579
"313, 'города', 'града'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5783475783475784
"316, 'город', 'градът'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.2884615384615384
"317, 'боги', 'богове'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.7628205128205129
"320, 'господина', 'господар'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.1858974358974357
"322, 'конных', 'конници'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.1461538461538461
"324, 'города', 'града'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7788461538461539
"326, 'города', 'града'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.743589743589743
"327, 'господин', 'господарю'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.3962703962703963
"329, 'города', 'града'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512820512820512
"330, 'пламя', 'пламъците'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,2.6,0.0,0.472934472934473
"331, 'новые', 'нови'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.6351084812623274
"332, 'дыма', 'дима'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8461538461538465
"334, 'вскочил', 'скочи'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1025641025641025
"43, 'кровь', 'кръвта'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.7837837837837839
"45, 'городским', 'града'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.6036036036036035
