pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"11, 'ступеням', 'степеницама'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.6,0.0,-0.3749999999999999
"15, 'чудо', 'чудо'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599999999999999
"110, 'знал', 'знао'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6499999999999999
"111, 'ступеням', 'степеницама'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.6,0.0,-0.32
"113, 'осужденных', 'осуђенике'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-0.7470588235294119
"115, 'греческом', 'грчком'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3714285714285714
"116, 'труба', 'трубе'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2666666666666665
"117, 'весело', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75
"121, 'остановились', 'зауставили'",0.0,0.0,2.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.8
"122, 'вылетела', 'излетела'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.95
"123, 'каменной', 'каменог'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2833333333333333
"127, 'командир', 'командир'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7555555555555555
"131, 'командир', 'командир'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4823529411764705
"133, 'полетели', 'пролетели'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3
